rooms,area1,district,building_type,price,year_type,no_first_no_last,area3_bins
3.0,84.4,Московский район,шлакоблок,6900000,старый_дом,True,1.0
3.0,51.8,Нижегородский район,кирпич,5450000,старый_дом,True,0.0
3.0,63.3,Нижегородский район,панель,7250000,старый_дом,False,1.0
1.0,41.0,Сормовский район,кирпич,6150000,новый_дом,False,1.0
2.0,38.6,Автозаводский район,шлакоблок,4200000,старый_дом,False,0.0
3.0,60.0,Сормовский район,панель,7250000,старый_дом,True,1.0
2.0,43.1,Ленинский район,кирпич,5200000,старый_дом,False,1.0
1.0,39.4,Нижегородский район,блок+утеплитель,8900000,новый_дом,True,2.0
1.0,30.6,Советский район,кирпич,6000000,старый_дом,True,0.0
3.0,56.3,Нижегородский район,кирпич,8120000,старый_дом,False,1.0
2.0,38.2,Советский район,кирпич,3470000,старый_дом,False,0.0
1.0,32.9,Сормовский район,кирпич,3800000,старый_дом,True,1.0
4.0,72.0,Автозаводский район,кирпич,7480000,старый_дом,True,1.0
1.0,24.7,дер. Анкудиновка,монолитный железобетон,3952000,новый_дом,True,1.0
2.0,39.8,Московский район,кирпич,4100000,старый_дом,False,0.0
1.0,30.0,Автозаводский район,кирпич,4099999,старый_дом,True,1.0
2.0,50.2,Канавинский район,панель,6790000,старый_дом,True,1.0
1.0,40.7,Нижегородский район,кирпич,7200000,новый_дом,True,2.0
2.0,62.4,дер. Анкудиновка,панель,7850000,новый_дом,True,2.0
1.0,47.0,Автозаводский район,монолитный железобетон,7939005,новый_дом,True,3.0
1.0,37.5,Ленинский район,панель,7200000,новый_дом,True,1.0
2.0,55.7,Автозаводский район,монолитный железобетон,9159030,новый_дом,True,2.0
1.0,18.6,дер. Анкудиновка,панель,3150000,новый_дом,False,0.0
4.0,94.0,дер. Анкудиновка,панель,9661414,новый_дом,True,3.0
2.0,47.7,дер. Анкудиновка,панель,6630014,новый_дом,True,2.0
3.0,82.0,дер. Анкудиновка,монолитный железобетон,9322498,новый_дом,True,3.0
2.0,43.0,Канавинский район,кирпич,4500000,старый_дом,False,1.0
2.0,45.5,Канавинский район,панель,6500000,старый_дом,False,1.0
1.0,39.0,дер. Анкудиновка,монолитный железобетон,4602000,новый_дом,True,1.0
1.0,33.3,Канавинский район,панель,5350000,старый_дом,False,1.0
1.0,39.3,дер. Анкудиновка,монолитный железобетон,4912500,новый_дом,False,2.0
2.0,54.0,Нижегородский район,кирпич,9450000,старый_дом,True,1.0
0.8,17.2,Сормовский район,панель,3550000,новый_дом,True,0.0
2.0,48.0,Сормовский район,панель,5799000,старый_дом,True,1.0
1.0,21.1,дер. Анкудиновка,панель,3861300,новый_дом,True,1.0
1.0,31.6,Ленинский район,панель,3800000,старый_дом,False,0.0
1.0,41.98,Автозаводский район,панель,6100000,новый_дом,True,1.0
2.0,48.7,дер. Анкудиновка,панель,5795300,новый_дом,True,2.0
3.0,62.2,Нижегородский район,панель,8400000,старый_дом,True,1.0
1.0,32.2,дер. Анкудиновка,монолитный железобетон,4475800,новый_дом,True,2.0
3.0,65.6,Канавинский район,панель,7990000,старый_дом,True,1.0
1.0,34.8,Московский район,кирпич,4200000,старый_дом,True,1.0
3.0,62.7,Автозаводский район,панель,7200000,старый_дом,True,0.0
1.0,33.0,Нижегородский район,панель,5400000,старый_дом,False,1.0
1.0,36.8,Советский район,панель,9052800,новый_дом,True,2.0
2.0,54.7,Сормовский район,панель,7500000,новый_дом,False,1.0
2.0,31.0,Канавинский район,кирпич,4700000,старый_дом,True,0.0
1.0,51.2,Канавинский район,блок+утеплитель,8500000,новый_дом,True,2.0
1.0,62.0,Нижегородский район,кирпич,3950000,старый_дом,False,4.0
2.0,54.6,Ленинский район,кирпич,7300000,новый_дом,True,1.0
2.0,48.3,Советский район,кирпич,9500000,старый_дом,True,1.0
3.0,57.3,Сормовский район,панель,5700000,старый_дом,False,0.0
2.0,42.18,Ленинский район,монолитный железобетон,8225100,новый_дом,True,1.0
3.0,74.9,Нижегородский район,кирпич,9699000,новый_дом,True,1.0
1.0,30.3,Ленинский район,кирпич,4200000,старый_дом,False,0.0
2.0,42.7,Автозаводский район,кирпич,5100000,старый_дом,True,1.0
3.0,60.3,Московский район,панель,7549999,старый_дом,True,1.0
2.0,45.0,Автозаводский район,панель,5600000,старый_дом,False,1.0
2.0,42.5,Советский район,кирпич,7350000,старый_дом,True,1.0
1.0,44.4,Советский район,панель,9990000,новый_дом,True,2.0
1.0,68.7,дер. Анкудиновка,монолитный железобетон,8037900,новый_дом,True,2.0
1.0,39.0,Канавинский район,кирпич,7250000,новый_дом,False,1.0
3.0,96.1,Советский район,кирпич,5990000,старый_дом,False,1.0
2.0,46.7,Автозаводский район,панель,6380000,новый_дом,True,1.0
1.0,36.0,Советский район,панель,8964000,новый_дом,False,2.0
1.0,37.5,Сормовский район,блок+утеплитель,5790000,новый_дом,True,2.0
3.0,63.3,Нижегородский район,панель,7600000,старый_дом,True,1.0
2.0,56.0,дер. Анкудиновка,панель,7800000,новый_дом,True,2.0
1.0,36.1,Автозаводский район,кирпич,4000000,старый_дом,False,1.0
1.0,60.0,дер. Анкудиновка,монолитный железобетон,8080200,новый_дом,True,2.0
2.0,42.8,Автозаводский район,панель,4650000,старый_дом,True,0.0
1.0,38.0,Ленинский район,кирпич,7100000,старый_дом,True,2.0
0.8,25.5,Советский район,блок+утеплитель,5100000,новый_дом,True,0.0
1.0,21.9,дер. Анкудиновка,монолитный железобетон,3788897,новый_дом,True,1.0
2.0,66.7,Нижегородский район,блок+утеплитель,8990000,новый_дом,True,2.0
3.0,51.6,Советский район,кирпич,5980000,старый_дом,True,1.0
2.0,48.2,дер. Анкудиновка,блок+утеплитель,6749976,новый_дом,True,2.0
1.0,27.2,Нижегородский район,панель,6300010,новый_дом,True,1.0
3.0,84.3,дер. Анкудиновка,монолитный железобетон,8345700,новый_дом,True,3.0
1.0,35.8,Нижегородский район,панель,5980000,старый_дом,True,1.0
3.0,63.0,Ленинский район,панель,9100000,старый_дом,True,1.0
3.0,62.6,Автозаводский район,кирпич,9700000,старый_дом,True,1.0
2.0,67.3,Автозаводский район,кирпич,6250000,старый_дом,True,2.0
3.0,61.0,Автозаводский район,панель,5500000,старый_дом,False,1.0
2.0,59.2,дер. Анкудиновка,панель,6630400,новый_дом,True,2.0
2.0,60.3,дер. Анкудиновка,панель,8019900,новый_дом,True,2.0
3.0,56.0,Канавинский район,кирпич,5650000,старый_дом,True,1.0
1.0,40.71,Советский район,панель,9159750,новый_дом,True,2.0
3.0,60.0,Автозаводский район,панель,6020000,старый_дом,True,1.0
1.0,30.7,Автозаводский район,блок+утеплитель,4200000,новый_дом,False,1.0
1.0,32.2,Канавинский район,кирпич,4750000,старый_дом,False,1.0
1.0,39.5,Автозаводский район,кирпич,5490000,старый_дом,False,1.0
1.0,30.0,Автозаводский район,кирпич,4270000,старый_дом,True,1.0
1.0,36.7,Автозаводский район,кирпич,4150000,старый_дом,True,1.0
3.0,66.1,Ленинский район,кирпич,7500000,старый_дом,False,2.0
3.0,82.5,дер. Анкудиновка,панель,9322500,новый_дом,True,3.0
2.0,45.7,Московский район,панель,5300000,старый_дом,True,1.0
2.0,37.9,Ленинский район,кирпич,3849999,старый_дом,False,0.0
2.0,47.2,Московский район,панель,5400000,старый_дом,True,0.0
2.0,54.3,дер. Анкудиновка,панель,7167600,новый_дом,True,2.0
2.0,42.9,Нижегородский район,кирпич,7550000,старый_дом,False,1.0
3.0,63.0,Канавинский район,панель,7295000,старый_дом,False,1.0
1.0,29.9,Ленинский район,кирпич,3090000,старый_дом,False,1.0
0.8,25.2,дер. Анкудиновка,монолитный железобетон,4258800,новый_дом,True,0.0
1.0,29.9,Автозаводский район,шлакоблок,2999000,старый_дом,False,1.0
1.0,44.5,Нижегородский район,блок+утеплитель,7450000,новый_дом,True,1.0
1.0,31.5,Ленинский район,кирпич,4500000,старый_дом,True,0.0
1.0,30.9,Московский район,панель,3620000,старый_дом,False,0.0
2.0,54.4,Нижегородский район,панель,9540000,новый_дом,True,1.0
